ID                                       0xdc9
Delivery_person_ID             COIMBRES09DEL01
Delivery_person_Age                        NaN
Delivery_person_Ratings                    NaN
Restaurant_latitude                  11.008638
Restaurant_longitude                 76.984311
Delivery_location_latitude           11.048638
Delivery_location_longitude          77.024311
Order_Date                          26-03-2022
Time_Orderd                                NaN
Time_Order_picked                        13:40
Weather conditions                         NaN
Road_traffic_density                       NaN
Vehicle_condition                            0
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     29.000000
Name: 7990, dtype: object
