ID                                    0xa60a
Delivery_person_ID             VADRES03DEL01
Delivery_person_Age                    36.00
Delivery_person_Ratings                 5.00
Restaurant_latitude                    22.32
Restaurant_longitude                   73.17
Delivery_location_latitude             22.39
Delivery_location_longitude            73.24
Order_Date                        25-03-2022
Time_Orderd                            22:55
Time_Order_picked                      23:10
Weather conditions                     Windy
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                     0.00
Festival                                  No
City                           Metropolitian
Time_taken (min)                       27.00
Name: 30949, dtype: object
