ID                                       0xd0fa
Delivery_person_ID               AURGRES05DEL01
Delivery_person_Age                   21.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   19.875522
Restaurant_longitude                  75.367127
Delivery_location_latitude            19.885522
Delivery_location_longitude           75.377127
Order_Date                           13-02-2022
Time_Orderd                               11:45
Time_Order_picked                         11:60
Weather conditions                          Fog
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      21.000000
Name: 35365, dtype: object
