ID                                    0xae36
Delivery_person_ID             JAPRES19DEL02
Delivery_person_Age                34.000000
Delivery_person_Ratings             4.600000
Restaurant_latitude                26.913726
Restaurant_longitude               75.752820
Delivery_location_latitude         27.043726
Delivery_location_longitude        75.882820
Order_Date                        14-03-2022
Time_Orderd                            19:50
Time_Order_picked                      20:05
Weather conditions                     Windy
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   47.000000
Name: 6953, dtype: object
