ID                                      0x597a
Delivery_person_ID             COIMBRES18DEL01
Delivery_person_Age                  38.000000
Delivery_person_Ratings               4.400000
Restaurant_latitude                  11.020910
Restaurant_longitude                 76.940432
Delivery_location_latitude           11.130910
Delivery_location_longitude          77.050432
Order_Date                          10-03-2022
Time_Orderd                              19:40
Time_Order_picked                        19:50
Weather conditions                         Fog
Road_traffic_density                       Jam
Vehicle_condition                            2
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                                     Urban
Time_taken (min)                     35.000000
Name: 15551, dtype: object
