ID                                      0x9a98
Delivery_person_ID             COIMBRES06DEL03
Delivery_person_Age                  30.000000
Delivery_person_Ratings               4.900000
Restaurant_latitude                  11.021278
Restaurant_longitude                 76.995017
Delivery_location_latitude           11.081278
Delivery_location_longitude          77.055017
Order_Date                          07-03-2022
Time_Orderd                              20:30
Time_Order_picked                        20:40
Weather conditions                       Windy
Road_traffic_density                       Jam
Vehicle_condition                            1
Type_of_order                           Buffet
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     34.000000
Name: 11131, dtype: object
