ID                                    0xdc9f
Delivery_person_ID             AGRRES12DEL01
Delivery_person_Age                27.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                27.165108
Restaurant_longitude               78.015053
Delivery_location_latitude         27.205108
Delivery_location_longitude        78.055053
Order_Date                        11-02-2022
Time_Orderd                            14:50
Time_Order_picked                      14:60
Weather conditions                       Fog
Road_traffic_density                    High
Vehicle_condition                          2
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   33.000000
Name: 44592, dtype: object
