ID                                       0xb9cd
Delivery_person_ID             RANCHIRES14DEL02
Delivery_person_Age                       22.00
Delivery_person_Ratings                    4.60
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.13
Delivery_location_longitude                0.13
Order_Date                           04-03-2022
Time_Orderd                               20:55
Time_Order_picked                         21:10
Weather conditions                        Sunny
Road_traffic_density                        Jam
Vehicle_condition                             0
Type_of_order                              Meal
Type_of_vehicle                      motorcycle
multiple_deliveries                        1.00
Festival                                     No
City                                      Urban
Time_taken (min)                          24.00
Name: 22076, dtype: object
