ID                                        0x1dab
Delivery_person_ID             RANCHIRES010DEL03
Delivery_person_Age                    37.000000
Delivery_person_Ratings                 4.800000
Restaurant_latitude                    23.354422
Restaurant_longitude                   85.332900
Delivery_location_latitude             23.384422
Delivery_location_longitude            85.362900
Order_Date                            01-03-2022
Time_Orderd                                22:45
Time_Order_picked                          22:55
Weather conditions                           Fog
Road_traffic_density                         Low
Vehicle_condition                              1
Type_of_order                             Drinks
Type_of_vehicle                       motorcycle
multiple_deliveries                     1.000000
Festival                                      No
City                               Metropolitian
Time_taken (min)                       18.000000
Name: 24180, dtype: object
