ID                                       0x7e4f
Delivery_person_ID              PUNERES010DEL01
Delivery_person_Age                   30.000000
Delivery_person_Ratings                4.500000
Restaurant_latitude                   18.539299
Restaurant_longitude                  73.897902
Delivery_location_latitude            18.649299
Delivery_location_longitude           74.007902
Order_Date                           08-03-2022
Time_Orderd                               23:45
Time_Order_picked                         23:50
Weather conditions                   Sandstorms
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      20.000000
Name: 30280, dtype: object
