ID                                      0x8a0a
Delivery_person_ID             COIMBRES08DEL02
Delivery_person_Age                  33.000000
Delivery_person_Ratings               5.000000
Restaurant_latitude                  11.001852
Restaurant_longitude                 76.976268
Delivery_location_latitude           11.051852
Delivery_location_longitude          77.026268
Order_Date                          01-03-2022
Time_Orderd                              23:50
Time_Order_picked                        23:55
Weather conditions                         Fog
Road_traffic_density                       Low
Vehicle_condition                            2
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     15.000000
Name: 2506, dtype: object
