ID                                     0x73fa
Delivery_person_ID             BANGRES09DEL01
Delivery_person_Age                 22.000000
Delivery_person_Ratings              4.200000
Restaurant_latitude                 12.934179
Restaurant_longitude                77.615797
Delivery_location_latitude          12.944179
Delivery_location_longitude         77.625797
Order_Date                         15-03-2022
Time_Orderd                              8:30
Time_Order_picked                        8:45
Weather conditions                      Windy
Road_traffic_density                      Low
Vehicle_condition                           0
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    15.000000
Name: 36969, dtype: object
