ID                                       0x8afa
Delivery_person_ID                VADRES04DEL01
Delivery_person_Age                       29.00
Delivery_person_Ratings                    4.70
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.01
Delivery_location_longitude                0.01
Order_Date                           30-03-2022
Time_Orderd                                9:45
Time_Order_picked                          9:50
Weather conditions                   Sandstorms
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                        1.00
Festival                                     No
City                                      Urban
Time_taken (min)                          11.00
Name: 44809, dtype: object
