ID                                    0xb50c
Delivery_person_ID             JAPRES15DEL03
Delivery_person_Age                31.000000
Delivery_person_Ratings             4.100000
Restaurant_latitude                26.891191
Restaurant_longitude               75.802083
Delivery_location_latitude         27.031191
Delivery_location_longitude        75.942083
Order_Date                        23-03-2022
Time_Orderd                            21:15
Time_Order_picked                      21:25
Weather conditions                Sandstorms
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                 Yes
City                                   Urban
Time_taken (min)                   51.000000
Name: 7965, dtype: object
