ID                                     0xa0b0
Delivery_person_ID             BANGRES17DEL03
Delivery_person_Age                 21.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 12.972532
Restaurant_longitude                77.608179
Delivery_location_latitude          13.062532
Delivery_location_longitude         77.698179
Order_Date                         08-03-2022
Time_Orderd                             23:40
Time_Order_picked                       23:50
Weather conditions                        Fog
Road_traffic_density                      Low
Vehicle_condition                           2
Type_of_order                          Buffet
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    20.000000
Name: 33632, dtype: object
