ID                                       0x973e
Delivery_person_ID             RANCHIRES03DEL03
Delivery_person_Age                       27.00
Delivery_person_Ratings                    5.00
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.06
Delivery_location_longitude                0.06
Order_Date                           05-03-2022
Time_Orderd                               23:20
Time_Order_picked                         23:35
Weather conditions                        Windy
Road_traffic_density                        Low
Vehicle_condition                             1
Type_of_order                            Drinks
Type_of_vehicle                      motorcycle
multiple_deliveries                        1.00
Festival                                    NaN
City                              Metropolitian
Time_taken (min)                          10.00
Name: 2894, dtype: object
