ID                                     0xa8bc
Delivery_person_ID             MUMRES010DEL02
Delivery_person_Age                 21.000000
Delivery_person_Ratings              4.000000
Restaurant_latitude                 19.003517
Restaurant_longitude                72.827650
Delivery_location_latitude          19.083517
Delivery_location_longitude         72.907650
Order_Date                         23-03-2022
Time_Orderd                             17:20
Time_Order_picked                       17:35
Weather conditions                     Cloudy
Road_traffic_density                   Medium
Vehicle_condition                           1
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    37.000000
Name: 25985, dtype: object
