ID                                       0x75fb
Delivery_person_ID                HYDRES12DEL01
Delivery_person_Age                   30.000000
Delivery_person_Ratings                5.000000
Restaurant_latitude                   17.429585
Restaurant_longitude                  78.392621
Delivery_location_latitude            17.539585
Delivery_location_longitude           78.502621
Order_Date                           04-04-2022
Time_Orderd                               18:10
Time_Order_picked                         18:20
Weather conditions                        Sunny
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      25.000000
Name: 31869, dtype: object
