ID                                       0xabde
Delivery_person_ID             RANCHIRES17DEL02
Delivery_person_Age                   39.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   23.374878
Restaurant_longitude                  85.335739
Delivery_location_latitude            23.504878
Delivery_location_longitude           85.465739
Order_Date                           25-03-2022
Time_Orderd                               19:10
Time_Order_picked                         19:15
Weather conditions                        Sunny
Road_traffic_density                        Jam
Vehicle_condition                             0
Type_of_order                             Snack
Type_of_vehicle                      motorcycle
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      25.000000
Name: 40821, dtype: object
