ID                                      0x31eb
Delivery_person_ID             CHENRES010DEL02
Delivery_person_Age                  25.000000
Delivery_person_Ratings               4.900000
Restaurant_latitude                  13.066762
Restaurant_longitude                 80.251865
Delivery_location_latitude           13.116762
Delivery_location_longitude          80.301865
Order_Date                          15-03-2022
Time_Orderd                              22:40
Time_Order_picked                        22:50
Weather conditions                         Fog
Road_traffic_density                       Low
Vehicle_condition                            1
Type_of_order                             Meal
Type_of_vehicle                     motorcycle
multiple_deliveries                   0.000000
Festival                                    No
City                                     Urban
Time_taken (min)                     14.000000
Name: 16516, dtype: object
