ID                                    0xda55
Delivery_person_ID             ALHRES14DEL01
Delivery_person_Age                33.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                25.459775
Restaurant_longitude               81.834841
Delivery_location_latitude         25.499775
Delivery_location_longitude        81.874841
Order_Date                        17-02-2022
Time_Orderd                            14:10
Time_Order_picked                      14:25
Weather conditions                     Windy
Road_traffic_density                    High
Vehicle_condition                          2
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   30.000000
Name: 41876, dtype: object
