ID                                        0xcb5
Delivery_person_ID             RANCHIRES13DEL03
Delivery_person_Age                   23.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   23.374989
Restaurant_longitude                  85.335486
Delivery_location_latitude            23.434989
Delivery_location_longitude           85.395486
Order_Date                           05-04-2022
Time_Orderd                               19:40
Time_Order_picked                         19:55
Weather conditions                       Cloudy
Road_traffic_density                        Jam
Vehicle_condition                             0
Type_of_order                            Drinks
Type_of_vehicle                      motorcycle
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      22.000000
Name: 38788, dtype: object
