ID                                       0x4b4f
Delivery_person_ID                MYSRES19DEL01
Delivery_person_Age                   24.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   12.334022
Restaurant_longitude                  76.618203
Delivery_location_latitude            12.344022
Delivery_location_longitude           76.628203
Order_Date                           03-03-2022
Time_Orderd                               11:60
Time_Order_picked                         12:15
Weather conditions                        Windy
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      13.000000
Name: 39247, dtype: object
