ID                                    0xa73d
Delivery_person_ID             JAPRES04DEL03
Delivery_person_Age                27.000000
Delivery_person_Ratings             4.000000
Restaurant_latitude                26.902328
Restaurant_longitude               75.794257
Delivery_location_latitude         26.992328
Delivery_location_longitude        75.884257
Order_Date                        29-03-2022
Time_Orderd                            17:40
Time_Order_picked                      17:55
Weather conditions                       Fog
Road_traffic_density                  Medium
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   32.000000
Name: 12415, dtype: object
