ID                                      0x60ef
Delivery_person_ID             COIMBRES16DEL02
Delivery_person_Age                  32.000000
Delivery_person_Ratings               4.100000
Restaurant_latitude                  11.010375
Restaurant_longitude                 76.952950
Delivery_location_latitude           11.030375
Delivery_location_longitude          76.972950
Order_Date                          15-03-2022
Time_Orderd                               8:30
Time_Order_picked                         8:40
Weather conditions                       Windy
Road_traffic_density                       Low
Vehicle_condition                            0
Type_of_order                             Meal
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     33.000000
Name: 8850, dtype: object
