ID                                     0xe03c
Delivery_person_ID             AURGRES16DEL03
Delivery_person_Age                     37.00
Delivery_person_Ratings                  4.60
Restaurant_latitude                      0.00
Restaurant_longitude                     0.00
Delivery_location_latitude               0.09
Delivery_location_longitude              0.09
Order_Date                         12-02-2022
Time_Orderd                             21:25
Time_Order_picked                       21:40
Weather conditions                     Cloudy
Road_traffic_density                      Jam
Vehicle_condition                           2
Type_of_order                          Drinks
Type_of_vehicle                       scooter
multiple_deliveries                      1.00
Festival                                  Yes
City                            Metropolitian
Time_taken (min)                        47.00
Name: 2639, dtype: object
