ID                                     0xd68e
Delivery_person_ID             AURGRES16DEL01
Delivery_person_Age                     32.00
Delivery_person_Ratings                  4.90
Restaurant_latitude                      0.00
Restaurant_longitude                     0.00
Delivery_location_latitude               0.04
Delivery_location_longitude              0.04
Order_Date                         17-02-2022
Time_Orderd                             12:30
Time_Order_picked                       12:45
Weather conditions                      Windy
Road_traffic_density                     High
Vehicle_condition                           1
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                      1.00
Festival                                   No
City                            Metropolitian
Time_taken (min)                        26.00
Name: 37415, dtype: object
