ID                                     0xb4f6
Delivery_person_ID             INDORES19DEL03
Delivery_person_Age                 26.000000
Delivery_person_Ratings              4.100000
Restaurant_latitude                 22.745536
Restaurant_longitude                75.893106
Delivery_location_latitude          22.775536
Delivery_location_longitude         75.923106
Order_Date                         26-03-2022
Time_Orderd                             21:30
Time_Order_picked                       21:35
Weather conditions                     Cloudy
Road_traffic_density                      Jam
Vehicle_condition                           1
Type_of_order                           Snack
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    32.000000
Name: 1286, dtype: object
