ID                                       0x8f79
Delivery_person_ID             RANCHIRES20DEL02
Delivery_person_Age                   29.000000
Delivery_person_Ratings                4.500000
Restaurant_latitude                   23.399250
Restaurant_longitude                  85.390464
Delivery_location_latitude            23.529250
Delivery_location_longitude           85.520464
Order_Date                           27-03-2022
Time_Orderd                               20:30
Time_Order_picked                         20:40
Weather conditions                        Windy
Road_traffic_density                        Jam
Vehicle_condition                             1
Type_of_order                              Meal
Type_of_vehicle                         scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      15.000000
Name: 531, dtype: object
