ID                                    0xe1ac
Delivery_person_ID             GOARES15DEL02
Delivery_person_Age                 26.00000
Delivery_person_Ratings              4.60000
Restaurant_latitude                 15.51315
Restaurant_longitude                73.78346
Delivery_location_latitude          15.64315
Delivery_location_longitude         73.91346
Order_Date                        14-02-2022
Time_Orderd                            17:30
Time_Order_picked                      17:35
Weather conditions                       Fog
Road_traffic_density                  Medium
Vehicle_condition                          2
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                  1.00000
Festival                                  No
City                           Metropolitian
Time_taken (min)                    37.00000
Name: 39999, dtype: object
