ID                                       0xbed2
Delivery_person_ID             RANCHIRES05DEL01
Delivery_person_Age                   33.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   23.355164
Restaurant_longitude                  85.324097
Delivery_location_latitude            23.425164
Delivery_location_longitude           85.394097
Order_Date                           23-03-2022
Time_Orderd                               19:55
Time_Order_picked                         19:60
Weather conditions                   Sandstorms
Road_traffic_density                        Jam
Vehicle_condition                             0
Type_of_order                            Buffet
Type_of_vehicle                      motorcycle
multiple_deliveries                    3.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      46.000000
Name: 4629, dtype: object
