ID                                    0xb7c1
Delivery_person_ID             MUMRES18DEL02
Delivery_person_Age                30.000000
Delivery_person_Ratings             4.900000
Restaurant_latitude                19.109300
Restaurant_longitude               72.825451
Delivery_location_latitude         19.129300
Delivery_location_longitude        72.845451
Order_Date                        07-03-2022
Time_Orderd                             9:20
Time_Order_picked                       9:25
Weather conditions                    Stormy
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   26.000000
Name: 37633, dtype: object
