ID                                     0xcdc6
Delivery_person_ID             LUDHRES03DEL01
Delivery_person_Age                 37.000000
Delivery_person_Ratings              3.500000
Restaurant_latitude                 30.887220
Restaurant_longitude                75.804893
Delivery_location_latitude          30.997220
Delivery_location_longitude         75.914893
Order_Date                         18-02-2022
Time_Orderd                             20:60
Time_Order_picked                       21:05
Weather conditions                 Sandstorms
Road_traffic_density                      Jam
Vehicle_condition                           1
Type_of_order                          Buffet
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    40.000000
Name: 8853, dtype: object
