ID                                     0xa2ff
Delivery_person_ID             BANGRES18DEL01
Delivery_person_Age                 28.000000
Delivery_person_Ratings              5.000000
Restaurant_latitude                 12.913041
Restaurant_longitude                77.683237
Delivery_location_latitude          12.923041
Delivery_location_longitude         77.693237
Order_Date                         28-03-2022
Time_Orderd                             10:25
Time_Order_picked                       10:40
Weather conditions                     Stormy
Road_traffic_density                      Low
Vehicle_condition                           2
Type_of_order                          Drinks
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    17.000000
Name: 34988, dtype: object
