ID                                     0xd38d
Delivery_person_ID             AURGRES09DEL03
Delivery_person_Age                 20.000000
Delivery_person_Ratings              4.700000
Restaurant_latitude                 19.874103
Restaurant_longitude                75.368419
Delivery_location_latitude          19.934103
Delivery_location_longitude         75.428419
Order_Date                         13-02-2022
Time_Orderd                             22:25
Time_Order_picked                       22:35
Weather conditions                     Stormy
Road_traffic_density                      Low
Vehicle_condition                           1
Type_of_order                            Meal
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                  NaN
City                            Metropolitian
Time_taken (min)                    13.000000
Name: 40697, dtype: object
