ID                                       0xbdba
Delivery_person_ID                SURRES03DEL01
Delivery_person_Age                   22.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   21.186884
Restaurant_longitude                  72.793616
Delivery_location_latitude            21.256884
Delivery_location_longitude           72.863616
Order_Date                           20-03-2022
Time_Orderd                               18:45
Time_Order_picked                         18:60
Weather conditions                       Stormy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      26.000000
Name: 30697, dtype: object
