ID                                       0xacdd
Delivery_person_ID             RANCHIRES12DEL01
Delivery_person_Age                       33.00
Delivery_person_Ratings                    4.10
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.01
Delivery_location_longitude                0.01
Order_Date                           17-03-2022
Time_Orderd                                9:45
Time_Order_picked                          9:60
Weather conditions                        Windy
Road_traffic_density                        Low
Vehicle_condition                             0
Type_of_order                              Meal
Type_of_vehicle                      motorcycle
multiple_deliveries                        0.00
Festival                                     No
City                                      Urban
Time_taken (min)                          20.00
Name: 29606, dtype: object
