ID                                    0xc7e3
Delivery_person_ID             BHPRES20DEL02
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                23.235123
Restaurant_longitude               77.398886
Delivery_location_latitude         23.315123
Delivery_location_longitude        77.478886
Order_Date                        18-02-2022
Time_Orderd                              NaN
Time_Order_picked                      19:60
Weather conditions                     Sunny
Road_traffic_density                     Jam
Vehicle_condition                          2
Type_of_order                           Meal
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   30.000000
Name: 8523, dtype: object
