ID                                        0x6e3
Delivery_person_ID               PUNERES01DEL01
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   18.569156
Restaurant_longitude                  73.774723
Delivery_location_latitude            18.679156
Delivery_location_longitude           73.884723
Order_Date                           31-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         19:40
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      41.000000
Name: 31271, dtype: object
