ID                                    0xd2f7
Delivery_person_ID             BHPRES15DEL01
Delivery_person_Age                37.000000
Delivery_person_Ratings             4.500000
Restaurant_latitude                23.234249
Restaurant_longitude               77.434007
Delivery_location_latitude         23.344249
Delivery_location_longitude        77.544007
Order_Date                        18-02-2022
Time_Orderd                            18:40
Time_Order_picked                      18:55
Weather conditions                    Stormy
Road_traffic_density                  Medium
Vehicle_condition                          1
Type_of_order                           Meal
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   39.000000
Name: 16625, dtype: object
