ID                                     0x23a5
Delivery_person_ID             PUNERES08DEL03
Delivery_person_Age                  34.00000
Delivery_person_Ratings               4.70000
Restaurant_latitude                  18.53408
Restaurant_longitude                 73.89852
Delivery_location_latitude           18.59408
Delivery_location_longitude          73.95852
Order_Date                         07-03-2022
Time_Orderd                             17:10
Time_Order_picked                       17:15
Weather conditions                      Sunny
Road_traffic_density                   Medium
Vehicle_condition                           0
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                   1.00000
Festival                                   No
City                                      NaN
Time_taken (min)                     26.00000
Name: 43107, dtype: object
