ID                                    0xdb73
Delivery_person_ID             DEHRES06DEL03
Delivery_person_Age                39.000000
Delivery_person_Ratings             4.000000
Restaurant_latitude                30.361281
Restaurant_longitude               78.068022
Delivery_location_latitude         30.421281
Delivery_location_longitude        78.128022
Order_Date                        11-02-2022
Time_Orderd                            19:25
Time_Order_picked                      19:30
Weather conditions                    Cloudy
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   37.000000
Name: 1108, dtype: object
