ID                                    0xbf42
Delivery_person_ID             AGRRES13DEL01
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                27.159795
Restaurant_longitude               78.042990
Delivery_location_latitude         27.199795
Delivery_location_longitude        78.082990
Order_Date                        15-02-2022
Time_Orderd                              NaN
Time_Order_picked                      15:25
Weather conditions                    Cloudy
Road_traffic_density                  Medium
Vehicle_condition                          2
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   16.000000
Name: 11508, dtype: object
