ID                                      0x8c2d
Delivery_person_ID             COIMBRES05DEL03
Delivery_person_Age                  24.000000
Delivery_person_Ratings               4.900000
Restaurant_latitude                  11.022169
Restaurant_longitude                 76.999594
Delivery_location_latitude           11.082169
Delivery_location_longitude          77.059594
Order_Date                          30-03-2022
Time_Orderd                              17:25
Time_Order_picked                        17:35
Weather conditions                  Sandstorms
Road_traffic_density                    Medium
Vehicle_condition                            1
Type_of_order                           Drinks
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     28.000000
Name: 9723, dtype: object
