ID                                     0xb3a3
Delivery_person_ID             PUNERES09DEL03
Delivery_person_Age                 38.000000
Delivery_person_Ratings              4.200000
Restaurant_latitude                 18.536562
Restaurant_longitude                73.896485
Delivery_location_latitude          18.596562
Delivery_location_longitude         73.956485
Order_Date                         03-03-2022
Time_Orderd                             20:25
Time_Order_picked                       20:30
Weather conditions                        Fog
Road_traffic_density                      Jam
Vehicle_condition                           0
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                  2.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    34.000000
Name: 33032, dtype: object
