ID                                       0x41db
Delivery_person_ID                HYDRES02DEL02
Delivery_person_Age                   34.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   17.412330
Restaurant_longitude                  78.449654
Delivery_location_latitude            17.492330
Delivery_location_longitude           78.529654
Order_Date                           29-03-2022
Time_Orderd                               18:15
Time_Order_picked                         18:30
Weather conditions                          Fog
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    3.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      44.000000
Name: 38054, dtype: object
