ID                                       0x393e
Delivery_person_ID             RANCHIRES16DEL01
Delivery_person_Age                   27.000000
Delivery_person_Ratings                4.400000
Restaurant_latitude                   23.371292
Restaurant_longitude                  85.327872
Delivery_location_latitude            23.441292
Delivery_location_longitude           85.397872
Order_Date                           25-03-2022
Time_Orderd                               20:30
Time_Order_picked                         20:35
Weather conditions                       Cloudy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                         scooter
multiple_deliveries                    2.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      43.000000
Name: 41693, dtype: object
