ID                                       0x56d8
Delivery_person_ID             RANCHIRES02DEL02
Delivery_person_Age                       23.00
Delivery_person_Ratings                    4.70
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.02
Delivery_location_longitude                0.02
Order_Date                           30-03-2022
Time_Orderd                                8:50
Time_Order_picked                          9:05
Weather conditions                          Fog
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                         scooter
multiple_deliveries                        1.00
Festival                                     No
City                                        NaN
Time_taken (min)                          18.00
Name: 8736, dtype: object
