ID                                     0x9dc1
Delivery_person_ID             JAPRES010DEL01
Delivery_person_Age                 27.000000
Delivery_person_Ratings              4.700000
Restaurant_latitude                 26.921411
Restaurant_longitude                75.793604
Delivery_location_latitude          26.961411
Delivery_location_longitude         75.833604
Order_Date                         15-03-2022
Time_Orderd                             15:15
Time_Order_picked                       15:20
Weather conditions                     Cloudy
Road_traffic_density                   Medium
Vehicle_condition                           1
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                  0.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    10.000000
Name: 37086, dtype: object
