ID                                       0x9aee
Delivery_person_ID               BANGRES15DEL02
Delivery_person_Age                   38.000000
Delivery_person_Ratings                3.700000
Restaurant_latitude                   12.975377
Restaurant_longitude                  77.696664
Delivery_location_latitude            13.105377
Delivery_location_longitude           77.826664
Order_Date                           18-03-2022
Time_Orderd                               22:60
Time_Order_picked                         23:10
Weather conditions                          Fog
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      39.000000
Name: 4676, dtype: object
