ID                                    0xde75
Delivery_person_ID             KNPRES01DEL01
Delivery_person_Age                38.000000
Delivery_person_Ratings             4.200000
Restaurant_latitude                26.483672
Restaurant_longitude               80.320708
Delivery_location_latitude         26.523672
Delivery_location_longitude        80.360708
Order_Date                        17-02-2022
Time_Orderd                            15:35
Time_Order_picked                      15:50
Weather conditions                     Windy
Road_traffic_density                  Medium
Vehicle_condition                          1
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   31.000000
Name: 11282, dtype: object
