ID                                      0x50a
Delivery_person_ID             BANGRES14DEL02
Delivery_person_Age                       NaN
Delivery_person_Ratings                   NaN
Restaurant_latitude                -12.949934
Restaurant_longitude               -77.699386
Delivery_location_latitude          13.079934
Delivery_location_longitude         77.829386
Order_Date                         08-03-2022
Time_Orderd                               NaN
Time_Order_picked                       20:50
Weather conditions                        NaN
Road_traffic_density                      NaN
Vehicle_condition                           3
Type_of_order                          Drinks
Type_of_vehicle                       bicycle
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    31.000000
Name: 16494, dtype: object
