ID                                      0x3cef
Delivery_person_ID             COIMBRES17DEL02
Delivery_person_Age                  28.000000
Delivery_person_Ratings               4.100000
Restaurant_latitude                  11.026117
Restaurant_longitude                 76.944652
Delivery_location_latitude           11.106117
Delivery_location_longitude          77.024652
Order_Date                          23-03-2022
Time_Orderd                              19:30
Time_Order_picked                        19:40
Weather conditions                         Fog
Road_traffic_density                       Jam
Vehicle_condition                            2
Type_of_order                           Drinks
Type_of_vehicle                     motorcycle
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     33.000000
Name: 45081, dtype: object
