ID                                        0xbe4
Delivery_person_ID               CHENRES17DEL02
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   13.045479
Restaurant_longitude                  80.233110
Delivery_location_latitude            13.095479
Delivery_location_longitude           80.283110
Order_Date                           11-03-2022
Time_Orderd                               20:45
Time_Order_picked                         20:50
Weather conditions                        Sunny
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                         NaN
Festival                                    NaN
City                                      Urban
Time_taken (min)                      14.000000
Name: 41829, dtype: object
