ID                                       0xa46b
Delivery_person_ID               PUNERES08DEL01
Delivery_person_Age                    25.00000
Delivery_person_Ratings                 4.60000
Restaurant_latitude                    18.53408
Restaurant_longitude                   73.89852
Delivery_location_latitude             18.60408
Delivery_location_longitude            73.96852
Order_Date                           06-03-2022
Time_Orderd                               18:55
Time_Order_picked                         19:05
Weather conditions                          Fog
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                     1.00000
Festival                                     No
City                              Metropolitian
Time_taken (min)                       26.00000
Name: 25436, dtype: object
