ID                                       0xb16c
Delivery_person_ID             RANCHIRES19DEL03
Delivery_person_Age                   28.000000
Delivery_person_Ratings                5.000000
Restaurant_latitude                   23.333017
Restaurant_longitude                  85.317200
Delivery_location_latitude            23.393017
Delivery_location_longitude           85.377200
Order_Date                           01-03-2022
Time_Orderd                               18:10
Time_Order_picked                         18:20
Weather conditions                        Windy
Road_traffic_density                     Medium
Vehicle_condition                             0
Type_of_order                              Meal
Type_of_vehicle                      motorcycle
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      23.000000
Name: 18993, dtype: object
