ID                                    0xdadb
Delivery_person_ID             KOCRES17DEL03
Delivery_person_Age                38.000000
Delivery_person_Ratings             4.900000
Restaurant_latitude                 9.959778
Restaurant_longitude               76.296106
Delivery_location_latitude         10.019778
Delivery_location_longitude        76.356106
Order_Date                        11-02-2022
Time_Orderd                            17:30
Time_Order_picked                      17:35
Weather conditions                    Cloudy
Road_traffic_density                  Medium
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                     NaN
Time_taken (min)                   25.000000
Name: 40528, dtype: object
