ID                                    0xbb21
Delivery_person_ID             JAPRES08DEL01
Delivery_person_Age                21.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                26.910262
Restaurant_longitude               75.783013
Delivery_location_latitude         26.980262
Delivery_location_longitude        75.853013
Order_Date                        06-03-2022
Time_Orderd                            20:55
Time_Order_picked                      20:60
Weather conditions                     Windy
Road_traffic_density                     Jam
Vehicle_condition                          2
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   23.000000
Name: 31655, dtype: object
