ID                                       0x56fb
Delivery_person_ID             RANCHIRES01DEL01
Delivery_person_Age                   21.000000
Delivery_person_Ratings                4.400000
Restaurant_latitude                   23.416792
Restaurant_longitude                  85.316842
Delivery_location_latitude            23.426792
Delivery_location_longitude           85.326842
Order_Date                           11-03-2022
Time_Orderd                               11:35
Time_Order_picked                         11:40
Weather conditions                       Cloudy
Road_traffic_density                       High
Vehicle_condition                             1
Type_of_order                            Buffet
Type_of_vehicle                         scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      33.000000
Name: 38866, dtype: object
