ID                                    0xc0cd
Delivery_person_ID             GOARES04DEL01
Delivery_person_Age                29.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude               -15.569600
Restaurant_longitude               73.742294
Delivery_location_latitude         15.639600
Delivery_location_longitude        73.812294
Order_Date                        18-02-2022
Time_Orderd                            22:55
Time_Order_picked                      23:05
Weather conditions                       Fog
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   22.000000
Name: 24682, dtype: object
