ID                                     0xcfd8
Delivery_person_ID             AURGRES09DEL02
Delivery_person_Age                 26.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 19.874103
Restaurant_longitude                75.368419
Delivery_location_latitude          19.894103
Delivery_location_longitude         75.388419
Order_Date                         13-02-2022
Time_Orderd                              9:20
Time_Order_picked                        9:30
Weather conditions                        Fog
Road_traffic_density                      Low
Vehicle_condition                           0
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                       NaN
Festival                                   No
City                            Metropolitian
Time_taken (min)                    18.000000
Name: 17840, dtype: object
