ID                                    0x38bf
Delivery_person_ID             VADRES03DEL01
Delivery_person_Age                    34.00
Delivery_person_Ratings                 4.40
Restaurant_latitude                    22.32
Restaurant_longitude                   73.17
Delivery_location_latitude             22.36
Delivery_location_longitude            73.21
Order_Date                        01-03-2022
Time_Orderd                            15:45
Time_Order_picked                      15:60
Weather conditions                     Windy
Road_traffic_density                  Medium
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                     1.00
Festival                                  No
City                           Metropolitian
Time_taken (min)                       31.00
Name: 41423, dtype: object
