ID                                       0x6fdc
Delivery_person_ID               CHENRES17DEL02
Delivery_person_Age                   25.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   13.045479
Restaurant_longitude                  80.233110
Delivery_location_latitude            13.095479
Delivery_location_longitude           80.283110
Order_Date                           21-03-2022
Time_Orderd                               19:45
Time_Order_picked                         19:60
Weather conditions                        Sunny
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      16.000000
Name: 18863, dtype: object
