ID                                     0x5ae2
Delivery_person_ID             BANGRES03DEL01
Delivery_person_Age                 38.000000
Delivery_person_Ratings              4.500000
Restaurant_latitude                 12.979166
Restaurant_longitude                77.640709
Delivery_location_latitude          13.089166
Delivery_location_longitude         77.750709
Order_Date                         02-03-2022
Time_Orderd                             17:60
Time_Order_picked                       18:15
Weather conditions                      Windy
Road_traffic_density                   Medium
Vehicle_condition                           1
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    22.000000
Name: 30509, dtype: object
